2023-11-05 20:55:55,655 - INFO - Endpoint: /dashboard/project/location_ratio | Processing time: 0.0 ms
2023-11-05 20:55:55,657 - INFO - Endpoint: /dashboard/project/construction_company_ratio | Processing time: 1.001 ms
2023-11-05 20:55:55,657 - INFO - Endpoint: /dashboard/project/usage_ratio | Processing time: 0.0 ms
2023-11-05 20:55:55,658 - INFO - Endpoint: /dashboard/project/total_area_histogram | Processing time: 0.0 ms
2023-11-05 20:55:55,659 - INFO - Endpoint: /dashboard/building/floor_count_histogram | Processing time: 0.9990000000000001 ms
2023-11-05 20:55:55,673 - INFO - Endpoint: /dashboard/project/map | Processing time: 12.999 ms
2023-11-05 20:55:55,673 - INFO - Endpoint: /dashboard/project/total_area_histogram | Processing time: 14.0 ms
2023-11-05 20:55:55,676 - INFO - Endpoint: /user/profile | Processing time: 1.0 ms
2023-11-05 20:55:55,694 - INFO - Endpoint: /dashboard/building/floor_count_histogram | Processing time: 17.99 ms
2023-11-05 20:55:55,707 - INFO - Endpoint: /dashboard/project/map | Processing time: 30.988000000000003 ms
2023-11-05 20:55:55,766 - INFO - Endpoint: /dashboard/project/count | Processing time: 57.74 ms
2023-11-05 20:55:55,782 - INFO - Endpoint: /dashboard/project/location_ratio | Processing time: 15.710999999999999 ms
2023-11-05 20:55:55,798 - INFO - Endpoint: /dashboard/project/construction_company_ratio | Processing time: 14.607999999999999 ms
2023-11-05 20:55:55,813 - INFO - Endpoint: /dashboard/project/usage_ratio | Processing time: 12.633000000000001 ms
2023-11-05 20:55:55,828 - INFO - Endpoint: /dashboard/project/total_area_histogram | Processing time: 14.615 ms
2023-11-05 20:55:55,846 - INFO - Endpoint: /dashboard/building/floor_count_histogram | Processing time: 16.477 ms
2023-11-05 20:55:55,859 - INFO - Endpoint: /dashboard/project/map | Processing time: 11.643 ms
2023-11-05 20:55:55,889 - INFO - Endpoint: /dashboard/building/count | Processing time: 11.690000000000001 ms
2023-11-05 20:55:58,272 - INFO - Endpoint: /dashboard/project | Processing time: 0.0 ms
2023-11-05 20:55:58,273 - INFO - Endpoint: /dashboard/project | Processing time: 0.9970000000000001 ms
2023-11-05 20:55:58,298 - INFO - Endpoint: /dashboard/project | Processing time: 23.061 ms
2023-11-05 20:55:58,330 - INFO - Endpoint: /dashboard/project | Processing time: 54.062 ms
2023-11-05 20:55:59,788 - INFO - Endpoint: /dashboard/project | Processing time: 0.0 ms
2023-11-05 20:55:59,789 - INFO - Endpoint: /dashboard/project | Processing time: 1.0 ms
2023-11-05 20:55:59,839 - INFO - Endpoint: /dashboard/project | Processing time: 49.236000000000004 ms
2023-11-05 20:55:59,839 - INFO - Endpoint: /dashboard/project | Processing time: 48.235 ms
2023-11-05 20:56:06,955 - INFO - Endpoint: /insight/3 | Processing time: 0.0 ms
2023-11-05 20:56:07,422 - INFO - Endpoint: /insight/3 | Processing time: 466.401 ms
2023-11-05 20:56:12,980 - INFO - Endpoint: /dashboard/project/ | Processing time: 0.0 ms
2023-11-05 20:56:12,981 - INFO - Endpoint: /building/additional_sub_info | Processing time: 1.0 ms
2023-11-05 20:56:12,982 - INFO - Endpoint: /dashboard/project/ | Processing time: 0.0 ms
2023-11-05 20:56:12,983 - INFO - Endpoint: /dashboard/project/ | Processing time: 0.0 ms
2023-11-05 20:56:12,984 - INFO - Endpoint: /building/additional_sub_info | Processing time: 0.0 ms
